0,1,2,3,4,5
4,2071176921,Sun Jun 07 18:57:54 PDT 2009,NO_QUERY,gabbbbikx3,"another fire, yayy. "
4,2062877703,Sun Jun 07 00:36:03 PDT 2009,NO_QUERY,AnthonyMontero,@LoBosworth   be careful lil Lo B  
4,2047900146,Fri Jun 05 14:21:01 PDT 2009,NO_QUERY,simplowdfan,@soapoperafan oh yes it was good. I hope you're not gonna miss it next week 
0,1979945356,Sun May 31 05:07:20 PDT 2009,NO_QUERY,izzale,"dont get too close or you will get hurt and i do get hurt, really bad "
4,1834821361,Mon May 18 04:18:41 PDT 2009,NO_QUERY,makotoichio,@Mm_Sackgirl Any big E3 plans? 
0,2070355841,Sun Jun 07 17:32:58 PDT 2009,NO_QUERY,EllenMariee,@mileycyrus Because you dont want to leave them. 
0,1882002172,Fri May 22 06:01:55 PDT 2009,NO_QUERY,smileforspanish,"@JungleJayne7 haha, the reason that i'm &quot;vegetarian&quot; this week is b/c when i went to the store, i just didn't buy any meat b/c of $ "
0,2267152717,Sun Jun 21 09:42:38 PDT 2009,NO_QUERY,Naa_Adei,@ruby LOL its not my language too but wut can u do | see u Monday 
4,1971453940,Sat May 30 07:09:00 PDT 2009,NO_QUERY,DaniAlexLuna,@SherryFrancis SHERRI!SO GLAD TO HEAR FROM YOU GIRL!  I WAS WORRIED.SO YOU DONT HAVE INTERNET...HOW WILL YOU SURVIVE??? lololol MUAH!!!
4,1961050187,Fri May 29 08:54:35 PDT 2009,NO_QUERY,xxSh0rtcakexx,@nicksohiogirl great thanks 
4,2064796307,Sun Jun 07 07:11:25 PDT 2009,NO_QUERY,nere13,"@martinaxD i like the cover, i wanna have her hair cut  LOL"
0,1680229579,Sat May 02 11:11:59 PDT 2009,NO_QUERY,Syxxp4c,Man working 2 jobs sucks! Working 9-1:30 then I work my other job from 2-10:30 
4,2046821733,Fri Jun 05 12:44:33 PDT 2009,NO_QUERY,antoniawade,NEW MOON TRAILER IS OUT!!! so good. the wolf is kool! 
0,2001139271,Mon Jun 01 23:57:37 PDT 2009,NO_QUERY,geminianeyes,@karcy_r I agree. 
4,1693701045,Sun May 03 23:27:36 PDT 2009,NO_QUERY,pinkiecharm,@VividPixie Oh well thank you!  I try my hardest.  
4,1771111122,Mon May 11 23:13:49 PDT 2009,NO_QUERY,Haydees,Had a great dinner and is off to bed 
4,1957520184,Fri May 29 00:45:36 PDT 2009,NO_QUERY,Mishmashi,http://twitpic.com/666bi - My awesome new scooter 
4,2180428080,Mon Jun 15 10:27:27 PDT 2009,NO_QUERY,seakun,@confuzzleddesi just type something 
4,1823793063,Sat May 16 23:00:17 PDT 2009,NO_QUERY,hOLLyBsWoRLd,Out and about! 
0,2221287736,Thu Jun 18 05:05:28 PDT 2009,NO_QUERY,meglbee,"@churnal33 feel betta  the jerk currently operating a jackhammer inside my head needs to leave &amp; everything can stop spinning asap, please"
0,2072156849,Sun Jun 07 20:30:07 PDT 2009,NO_QUERY,ary_yuanto,"@soany_g monday @ batam! huhuhuhhh... berpisah lagi   Already lost my appetite,thinking for lonely-dinner-menu"
0,1678904095,Sat May 02 08:01:58 PDT 2009,NO_QUERY,kellyley,Opie ate ibuprofen last night and has to stay at the emergency vet til Monday for detox  They think he is going to be ok but I miss him!
4,1982599407,Sun May 31 11:31:51 PDT 2009,NO_QUERY,davis256,is bored and feels like shiznit... guess I'm going to try to get into a good book and relax.  I'm such a bum! 
4,1967870106,Fri May 29 20:21:35 PDT 2009,NO_QUERY,HollySiwek,second chances-october fall 
0,2259031601,Sat Jun 20 16:54:21 PDT 2009,NO_QUERY,heather_mae_day,@MaryyyG ughh work in la tonight at Kress. 
0,1680020376,Sat May 02 10:43:05 PDT 2009,NO_QUERY,vaaht,I am going through guitar withdrawals and it's only been two days.  I desperately need to get a travel guitar...  : /
0,1693863960,Mon May 04 00:04:47 PDT 2009,NO_QUERY,johnnyandre,@mattfazzi I wish I could have gone 
4,1962204197,Fri May 29 10:41:06 PDT 2009,NO_QUERY,Vnella,@SnowWhite23 I'm just giving you positive vibes 
0,2061084116,Sat Jun 06 20:08:48 PDT 2009,NO_QUERY,cozmic1988,"Had a wkd night at Bar Six-T-Nine, but wishes he could pull like he used to. Too fat now "
0,2198561837,Tue Jun 16 16:15:02 PDT 2009,NO_QUERY,kahleystiffler,The woman sitting next to me is breast feeding...awkward 
4,1991968678,Mon Jun 01 07:58:44 PDT 2009,NO_QUERY,SpiritOfSuccess,Ever want to go on personal development vacations??  Well you finally can! Check this out and start to imagine http://bit.ly/u8X5R
4,2185942013,Mon Jun 15 18:07:39 PDT 2009,NO_QUERY,Iceman2343,Who here is getting the ghostbusters game tommorow (I KNOW ABOUT YOU CLOW YOU DONT NEED TO ANSWER 
0,2180231019,Mon Jun 15 10:11:11 PDT 2009,NO_QUERY,MelanieNoDuh,I'm really sad honor society is officially gone 
4,2002465195,Tue Jun 02 04:17:36 PDT 2009,NO_QUERY,seemysight,@jamcityslickers thanks for the add. 
4,1694437619,Mon May 04 02:37:31 PDT 2009,NO_QUERY,ffifah,"Is at coffee bean, met Dean "
4,2009603379,Tue Jun 02 15:58:21 PDT 2009,NO_QUERY,heykim,@catwmn13 thx! got some migraine meds in me and some claraitin.... im doin MUCH btr! 
0,2000799552,Mon Jun 01 22:59:57 PDT 2009,NO_QUERY,chachada1,New spec vid go to his page @iamspectacular my computer trippin so 
0,2003860437,Tue Jun 02 07:16:14 PDT 2009,NO_QUERY,joshhme,My blackberry has a hairline fracture in the screen 
4,2186034549,Mon Jun 15 18:15:42 PDT 2009,NO_QUERY,summergirl15,@MTVBuzzworthy COBRA STARSHIP: How has your music changed from the first album to now??? &lt;3 YOUR MUSIC THX CAREY       
0,1550910075,Sat Apr 18 07:36:32 PDT 2009,NO_QUERY,POPisdead_,Fuck the weather channel. They said it was supposed to rain today. 
0,1696207835,Mon May 04 07:49:49 PDT 2009,NO_QUERY,veronique1989,hi everyone not feeling so well today 
4,1822941378,Sat May 16 20:44:35 PDT 2009,NO_QUERY,drunkbrunch,@caseyrocks Thanks for the #followfriday! I consider &quot;quirky and witty&quot; a compliment 
0,2188000338,Mon Jun 15 21:08:17 PDT 2009,NO_QUERY,Amy_Maureen,@The_Real_Karen Hate it!  @Amy_Maureen i just have my french fries in office. cute guy gave it to me lol!
4,2002041838,Tue Jun 02 02:57:00 PDT 2009,NO_QUERY,mayyguunn,Off to sleep now  goodnight twitter
4,2010644309,Tue Jun 02 17:43:43 PDT 2009,NO_QUERY,CjW85,"@Michael_Cera Got to be careful man, sequels are a poison chalice.  I'm sure you fellas could make it work though."
0,2000315293,Mon Jun 01 21:51:12 PDT 2009,NO_QUERY,skreeloz,I want you to stay 
0,2234164093,Thu Jun 18 22:32:38 PDT 2009,NO_QUERY,Audrey,@max_chan Still having migraine today... It didn't stop even after I slept 
0,2052573310,Sat Jun 06 01:12:04 PDT 2009,NO_QUERY,xUncovered_Lies,My feet hurt 
4,1685006898,Sat May 02 22:44:37 PDT 2009,NO_QUERY,gracieepoo,@gaspitslauren haha thankss [: im good too! lmaoo  im really awake even though its 2AM
0,1679133846,Sat May 02 08:37:01 PDT 2009,NO_QUERY,KLK3838,going to get a haircut 
0,2253661923,Sat Jun 20 08:32:28 PDT 2009,NO_QUERY,Orrz,Eyes are stingy 
4,1751034271,Sat May 09 18:30:38 PDT 2009,NO_QUERY,Fonzeey,Feeling smooth like chrome 
0,2072062644,Sun Jun 07 20:20:13 PDT 2009,NO_QUERY,shannonbyrne,Feeling extreemly blessed!! With just a little sadness cause I miss Beau 
0,2052977935,Sat Jun 06 02:47:05 PDT 2009,NO_QUERY,SureetahSucks,Kinda don't want this vacation to end 
4,1989574829,Mon Jun 01 02:02:24 PDT 2009,NO_QUERY,madisonainsley,The strep throat keeps getting worse and worse.   Listening to ADD by @BlakeLewis and it's helping a little 
0,2234863714,Thu Jun 18 23:54:51 PDT 2009,NO_QUERY,purrycat,@badmummy ...and then I heard it run away and slam a door behind it 
0,2057975199,Sat Jun 06 14:01:21 PDT 2009,NO_QUERY,meowreen,Good Mornig! waa ready to go to bed  waaaaaa! soo sleepy (-.-) mornaitssss.
4,1973863312,Sat May 30 11:58:56 PDT 2009,NO_QUERY,spahkleprincess,@LittleBitTwistd  uh oh is it a NK *thud* day? I kinda like those types of days 
0,2208697205,Wed Jun 17 09:31:03 PDT 2009,NO_QUERY,amiraninjaface,@snickolas Sorry I've failed in planning to hang out. Pinched my sciatic nerve pretty badly the other week. Has left me mostly horizontal 
4,2186412463,Mon Jun 15 18:48:12 PDT 2009,NO_QUERY,WMBYS,@superbjorn You already left a review. Want me to enter you? 
0,2260464966,Sat Jun 20 19:15:37 PDT 2009,NO_QUERY,aaroncputnam,"After having gone to a cousins wedding I am the last person I know not currently dating, engaged or married!  oh well..."
4,1957519692,Fri May 29 00:45:31 PDT 2009,NO_QUERY,enamoredsoul,Follow @Colin_Taylor a really interesting &amp; interactive guy with a great blog   #FollowFriday #FF
4,1932995948,Tue May 26 22:43:37 PDT 2009,NO_QUERY,PussyPrevails,LOL. I can't HELP it. I'm glad it keeps you entertained tho.  @royallyme
0,1999851918,Mon Jun 01 20:56:33 PDT 2009,NO_QUERY,givenscj,Two bright stars from Oklahoma (my home state) are gone today 
0,2301072081,Tue Jun 23 14:57:51 PDT 2009,NO_QUERY,bossladynyc,Was just told Ed Hardy is currently our number one seller for women on DrJays.com. Don't shoot the messenger @themegatrondon 
0,1694723678,Mon May 04 03:52:24 PDT 2009,NO_QUERY,drunkenmonkey87,At work.  no rest for the wicked!
4,2002223506,Tue Jun 02 03:33:21 PDT 2009,NO_QUERY,CdeGuzman,wore pants today. Awesome. 
4,2057746868,Sat Jun 06 13:35:06 PDT 2009,NO_QUERY,Meggzilla_Yo,At the park on the swings  my favorite
0,1984261175,Sun May 31 14:45:32 PDT 2009,NO_QUERY,HokieBlockhead,"@JonathanRKnight Jon, r u heading to Atl now? I'm from GA and wish I was heading there too for my Full Service "
4,2051013064,Fri Jun 05 19:42:12 PDT 2009,NO_QUERY,BtheTamale,"@nwchptr4me thank u 4 telling me so  ** u pretty cool w me ** I'm jetting to LA, next Fri, b/c we r off @ wrk, then hitting the casino"
4,1676688399,Fri May 01 22:50:42 PDT 2009,NO_QUERY,Nessbeast,"I &lt;3 eminem. kiss my ass, i really do.  Till i collapse is my current favorite song. and criminal."
4,2183796787,Mon Jun 15 14:59:58 PDT 2009,NO_QUERY,Tappnbrd,@Classy_Ann that's really cool class  like 2 heAr more about the phone when ya get it
4,2051159543,Fri Jun 05 19:58:20 PDT 2009,NO_QUERY,piratescribe,"@marianas me too  I loved that the Mom wasn't dopey, and it wasn't a gooey, everything's perfect kind of ending "
4,1996824025,Mon Jun 01 15:45:24 PDT 2009,NO_QUERY,selinye,"@sg_01 yes, yes it does!  "
0,2285042038,Mon Jun 22 14:38:06 PDT 2009,NO_QUERY,Popsicle21,@blackandebony Where the hell are you? Did you take a long walk off of a short cliff or something? Reply me... 
4,2001799640,Tue Jun 02 02:06:50 PDT 2009,NO_QUERY,Nossss,Just woke up..IN SPAIN!! 
4,2191264036,Tue Jun 16 04:54:03 PDT 2009,NO_QUERY,JD505,"Morning everyone! Yesterday at work went by fast, let's hope that today does as well "
0,2001593883,Tue Jun 02 01:24:18 PDT 2009,NO_QUERY,sunlover393,"Considering taking a boat to Japan.  Hopefully the mystery of Air France 447 is solved soon, so the families can begin grieving in peace "
0,1991710394,Mon Jun 01 07:31:40 PDT 2009,NO_QUERY,jkpirie,"Lovely day, Annual leave, but loads of boring work related stuff to do   Sigh"
4,2052292515,Sat Jun 06 00:14:53 PDT 2009,NO_QUERY,caitlinduhhh,"noooooobody cares, btw  hahahahah. oh goodness. summer needs to come faster, like really fast. so many plans  next sunday! &lt;3"
0,1573575393,Tue Apr 21 01:49:41 PDT 2009,NO_QUERY,cathy_w,@Caroline_S Poor little one 
